"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","870","920","920","1010","1070","1210","1250","1490","1590","1680","1900","1940","1950","1940","1970","2000",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1980","2240","880","880","690","1550","1560","1890","1880","1730","1860","1940","2280","2370","2580","3040","3580","4480","4810","5200","5210","5360","5550","5900","6130","6250","6090","6060",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2720","1950","1830","2130","2400","2830","3180","2900","3300","3770","4150","4600","4870","5250","5650","6060","6830","7490","8270","8670","9540","10210","10450","10750","11360","11470","11750","12120",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6933.97370843538","6951.17224225776","7319.49583319539","7549.68224873312","7675.91251157128","7827.38779275149","8084.9979981802","8380.00303293123","8864.95160884668","8971.94546265353","9376.16412168827","9584.81939187613","9455.47645633179","9842.0912863812","10815.3079539476","11537.5953970269","12408.663502296","13100.7057801053","13767.2221799133","13589.9505940596","13942.7332812876","14310.2416493496","15193.7411816186","15453.2206864786","15895.2514804252","16366.5964045787","16794.064948643","16997.503538636",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83950","79600","82060","85010","83040","82570","76680","69330","59430","56070","58420","60600","64150","67480","71200","71750","74410",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6680","7780","8890","9570","10190","9950","10540","11440","11830","11460","11500","11090","9480","10530","11720","13290","14730","16430","17270","16110","17710","19070","19120","19730","19400","19630","19260","20270",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2330","2230","1130","1180","1420","1580","1780","1950","2080","2190","2380","2690","3130","3650","4150","4970","5870","6960","7690","6590","6890","7270","7950","8490","8790","9090","9020","10060",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9540","10340","10600","11380","12060","11450","12170","12820","13260","13600","14180","13870","13740","14780","15820","17320","19910","22070","22130","19430","18310","17960","18580","18980","20040","20970","22090","22980",
"Australia","AUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16720","17060","17480","18600","19620","20170","21180","22150","23410","24460","25560","26580","27930","28840","30420","31330","32950","34880","35880","38820","37750","40210","41430","44650","45520","45270","45110","45780",
"Austria","AUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19540","20570","21310","21760","22640","23570","24510","25290","26490","27170","29120","29330","31000","32030","33710","34940","37720","39350","41660","40900","42400","44600","46500","48050","48850","49520","50500","52660",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3360","2720","2410","2420","2630","2890","3110","3340","3710","4120","4650","5100","6280","8570","10560","12380","13800","14690","14680","15260","16320","17100","17100","16120","16650",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","690","740","740","700","680","630","580","570","600","590","610","600","620","600","620","630","670","700","730","730","740","770","790","820","840","800","780","770",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18820","19800","20470","20880","22120","23010","23400","24480","25120","26220","28690","29510","30990","31630","32680","33720","35870","37350","39030","38050","41350","41660","43390","44240","44940","45330","46750","47960",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930","970","970","1030","1030","1080","1110","1170","1200","1250","1310","1370","1410","1440","1500","1540","1600","1690","1770","1760","1770","1820","1870","1990","2090","2110","2170","2260",
