"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Afghanistan","2012","Male","58",""
"Afghanistan","2012","Female","61",""
"Afghanistan","2012","Both sexes","60",""
"Afghanistan","2000","Male","54",""
"Afghanistan","2000","Female","56",""
"Afghanistan","2000","Both sexes","55",""
"Afghanistan","1990","Male","49",""
"Afghanistan","1990","Female","50",""
"Afghanistan","1990","Both sexes","49",""
"Albania","2012","Male","73",""
"Albania","2012","Female","75",""
"Albania","2012","Both sexes","74",""
"Albania","2000","Male","68",""
"Albania","2000","Female","73",""
"Albania","2000","Both sexes","70",""
"Albania","1990","Male","67",""
"Albania","1990","Female","71",""
"Albania","1990","Both sexes","69",""
"Algeria","2012","Male","70",""
"Algeria","2012","Female","73",""
"Algeria","2012","Both sexes","72",""
"Algeria","2000","Male","68",""
"Algeria","2000","Female","71",""
"Algeria","2000","Both sexes","70",""
"Algeria","1990","Male","66",""
"Algeria","1990","Female","69",""
"Algeria","1990","Both sexes","68",""
"Andorra","2012","Male","79",""
"Andorra","2012","Female","86",""
"Andorra","2012","Both sexes","83",""
"Andorra","2000","Male","76",""
"Andorra","2000","Female","83",""
"Andorra","2000","Both sexes","80",""
"Andorra","1990","Male","74",""
"Andorra","1990","Female","81",""
"Andorra","1990","Both sexes","77",""
"Angola","2012","Male","50",""
"Angola","2012","Female","52",""
"Angola","2012","Both sexes","51",""
"Angola","2000","Male","44",""
"Angola","2000","Female","47",""
"Angola","2000","Both sexes","46",""
"Angola","1990","Male","41",""
"Angola","1990","Female","45",""
"Angola","1990","Both sexes","43",""
"Antigua and Barbuda","2012","Male","73",""
"Antigua and Barbuda","2012","Female","77",""
"Antigua and Barbuda","2012","Both sexes","75",""
"Antigua and Barbuda","2000","Male","72",""
"Antigua and Barbuda","2000","Female","74",""
"Antigua and Barbuda","2000","Both sexes","73",""
"Antigua and Barbuda","1990","Male","70",""
"Antigua and Barbuda","1990","Female","72",""
"Antigua and Barbuda","1990","Both sexes","71",""
"Argentina","2012","Male","73",""
"Argentina","2012","Female","79",""
"Argentina","2012","Both sexes","76",""
"Argentina","2000","Male","71",""
"Argentina","2000","Female","78",""
"Argentina","2000","Both sexes","75",""
"Argentina","1990","Male","69",""
"Argentina","1990","Female","76",""
"Argentina","1990","Both sexes","73",""
"Armenia","2012","Male","67",""
"Armenia","2012","Female","75",""
"Armenia","2012","Both sexes","71",""
"Armenia","2000","Male","68",""
"Armenia","2000","Female","74",""
"Armenia","2000","Both sexes","71",""
"Armenia","1990","Male","63",""
"Armenia","1990","Female","71",""
"Armenia","1990","Both sexes","67",""
"Australia","2012","Male","81",""
"Australia","2012","Female","85",""
"Australia","2012","Both sexes","83",""
"Australia","2000","Male","77",""
"Australia","2000","Female","83",""
"Australia","2000","Both sexes","80",""
"Australia","1990","Male","74",""
"Australia","1990","Female","80",""
"Australia","1990","Both sexes","77",""
"Austria","2012","Male","78",""
"Austria","2012","Female","83",""
"Austria","2012","Both sexes","81",""
"Austria","2000","Male","75",""
"Austria","2000","Female","81",""
"Austria","2000","Both sexes","78",""
"Austria","1990","Male","72",""
"Austria","1990","Female","79",""
"Austria","1990","Both sexes","76",""
"Azerbaijan","2012","Male","69",""
"Azerbaijan","2012","Female","75",""
"Azerbaijan","2012","Both sexes","72",""
"Azerbaijan","2000","Male","64",""
"Azerbaijan","2000","Female","69",""
"Azerbaijan","2000","Both sexes","66",""
"Azerbaijan","1990","Male","60",""
"Azerbaijan","1990","Female","66",""
"Azerbaijan","1990","Both sexes","63",""
"Bahamas","2012","Male","72",""
